cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_I_IV,Right_LGN,R_postCingMean,0.494635,-9.00E-06,-1.00E-06,0.000315,0.019129,0.305866986
Left_I_IV,Right_CM,R_assocAudMean,0.652305,-6.00E-06,-1.00E-06,0.002671,0.054906,0.474556364
Left_I_IV,Right_PuA,R_earlyAudMean,0.768726,-9.00E-06,-1.00E-06,0.02675,0.065794,0.599338325
Left_I_IV,Right_Pf,R_assocAudMean,0.434196,-8.00E-06,-1.00E-06,0.005616,0.006712,0.474556364
Left_I_IV,Right_Pf,R_postCingMean,0.578614,-6.00E-06,-1.00E-06,0.005616,0.004214,0.305866986
Left_V,Right_CM,R_assocAudMean,0.540941,-4.00E-06,-1.00E-06,0.002929,0.044792,0.563418528
Left_V,Right_CM,R_tpjMean,0.050652,-7.00E-06,-1.00E-06,0.002929,0.008878,0.590316143
Left_V,Right_Pf,R_assocAudMean,0.397829,-5.00E-06,-1.00E-06,0.009784,0.005764,0.563418528
Left_V,Right_Pf,R_postCingMean,0.979273,-4.00E-06,-1.00E-06,0.009784,0.007442,0.18027584
Left_VIIIa,Right_Pf,R_assocAudMean,0.073769,-4.00E-06,-1.00E-06,0.036049,0.00134,0.701237803
Left_VIIIb,Right_PuM,R_antCingMean,0.181131,-6.00E-06,-1.00E-06,0.002373,0.00783,0.819766206
Left_VIIIb,Right_CM,R_antCingMean,0.125343,-5.00E-06,-1.00E-06,0.00603,0.001339,0.819766206
Left_VIIIb,Right_CM,R_assocAudMean,0.219812,-5.00E-06,-1.00E-06,0.00603,0.019238,0.993953237
Left_VIIIb,Right_VLa,R_tpjMean,0.053803,-9.00E-06,-1.00E-06,0.000504,0.029597,0.483226226
Left_VIIIb,Right_Pf,R_assocAudMean,0.168144,-6.00E-06,-1.00E-06,0.024133,0.002515,0.993953237
Left_VIIIb,Right_Pf,R_postCingMean,0.823423,-4.00E-06,-1.00E-06,0.024133,0.004853,0.306571202
Left_VIIIb,Right_VLp,R_tpjMean,0.054789,-9.00E-06,-1.00E-06,0.000465,0.030984,0.483226226
Left_IX,Right_CM,R_antCingMean,0.245371,-7.00E-06,-1.00E-06,0.009133,0.002463,0.675275628
Left_IX,Right_PuA,R_earlyAudMean,0.352618,-1.10E-05,-1.00E-06,0.013741,0.035474,0.937141296
Left_X,Right_VPL,R_postCingMean,0.389651,-4.00E-05,-3.00E-06,0.001932,0.017532,0.551713004
Left_X,Right_CM,R_antCingMean,0.107364,-4.10E-05,-5.00E-06,0.001604,0.001239,0.692650828
Left_X,Right_CM,R_assocAudMean,0.451651,-3.70E-05,-5.00E-06,0.001604,0.038847,0.594345607
Left_X,Right_CM,R_postCingMean,0.319427,-3.90E-05,-2.00E-06,0.001604,0.010521,0.551713004
Left_X,Right_VLa,R_postCingMean,0.550449,-4.10E-05,-1.00E-06,0.00075,0.075865,0.551713004
Left_X,Right_Pf,R_assocAudMean,0.415833,-4.20E-05,-3.00E-06,0.014684,0.005779,0.594345607
Left_X,Right_Pf,R_postCingMean,0.367132,-3.70E-05,-2.00E-06,0.014684,0.002215,0.551713004
Left_X,Right_VM,R_postCingMean,0.308919,-4.30E-05,-3.00E-06,0.001206,0.011285,0.551713004
Left_X,Right_VLp,R_postCingMean,0.476678,-4.50E-05,-2.00E-06,0.00072,0.050731,0.551713004
Left_Dentate,Right_PuA,R_earlyAudMean,0.59965,-2.30E-05,-1.00E-06,0.000209,0.250437,0.10547004
Left_Dentate,Right_Pf,R_assocAudMean,0.609834,-2.70E-05,-5.00E-06,0.000007,0.02602,0.104484844
Left_Interposed,Right_Pf,R_assocAudMean,0.968108,-9.80E-05,-3.00E-06,0.008537,0.017794,0.195203009
Left_Fastigial,Right_CL,R_antCingMean,0.611716,1.00E-06,0.000205,0.046145,0.107095,0.900354614
