cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_I_IV,Right_LGN,R_somatoMean,0.297382,-8.00E-06,0,0.000315,0.080034,0.914564653
Left_I_IV,Right_LGN,R_antCingMean,0.643077,-5.00E-06,3.00E-06,0.000315,0.365733,0.185876415
Left_I_IV,Right_LGN,R_earlyAudMean,0.95791,-8.00E-06,5.00E-06,0.000315,0.580337,0.599338325
Left_I_IV,Right_LGN,R_assocAudMean,0.804298,-5.00E-06,3.00E-06,0.000315,0.634446,0.474556364
Left_I_IV,Right_LGN,R_insOperMean,0.538203,-5.00E-06,5.00E-06,0.000315,0.90909,0.367954004
Left_I_IV,Right_LGN,R_tpjMean,0.901564,-5.00E-06,4.00E-06,0.000315,0.953689,0.908857709
Left_I_IV,Right_MGN,R_somatoMean,0.394022,-6.00E-06,0,0.129254,0.002444,0.914564653
Left_I_IV,Right_MGN,R_antCingMean,0.554453,-4.00E-06,0,0.129254,0.005606,0.185876415
Left_I_IV,Right_MGN,R_earlyAudMean,0.634498,-4.00E-06,3.00E-06,0.129254,0.953567,0.599338325
Left_I_IV,Right_MGN,R_assocAudMean,0.992904,-5.00E-06,0,0.129254,0.016373,0.474556364
Left_I_IV,Right_MGN,R_insOperMean,0.278856,-1.00E-06,4.00E-06,0.129254,0.427339,0.367954004
Left_I_IV,Right_MGN,R_postCingMean,0.464216,-4.00E-06,1.00E-06,0.129254,0.403171,0.305866986
Left_I_IV,Right_MGN,R_tpjMean,0.709282,-5.00E-06,0,0.129254,0.10682,0.908857709
Left_I_IV,Right_PuI,R_somatoMean,0.52777,-2.00E-06,5.00E-06,0.001309,0.34782,0.914564653
Left_I_IV,Right_PuI,R_antCingMean,0.233449,-2.00E-06,3.00E-06,0.001309,0.8214,0.185876415
Left_I_IV,Right_PuI,R_earlyAudMean,0.742317,-1.50E-05,2.00E-06,0.001309,0.192067,0.599338325
Left_I_IV,Right_PuI,R_assocAudMean,0.467206,-3.00E-06,3.00E-06,0.001309,0.788706,0.474556364
Left_I_IV,Right_PuI,R_insOperMean,0.749608,-6.00E-06,3.00E-06,0.001309,0.474564,0.367954004
Left_I_IV,Right_PuI,R_postCingMean,0.738138,-6.00E-06,2.00E-06,0.001309,0.383677,0.305866986
Left_I_IV,Right_PuI,R_tpjMean,0.672682,-4.00E-06,5.00E-06,0.001309,0.567489,0.908857709
Left_I_IV,Right_PuM,R_somatoMean,0.515854,-5.00E-06,1.00E-06,0.00195,0.192255,0.914564653
Left_I_IV,Right_PuM,R_antCingMean,0.94699,-6.00E-06,0,0.00195,0.05592,0.185876415
Left_I_IV,Right_PuM,R_earlyAudMean,0.378736,-2.00E-05,0,0.00195,0.021101,0.599338325
Left_I_IV,Right_PuM,R_assocAudMean,0.738017,-8.00E-06,1.00E-06,0.00195,0.098207,0.474556364
Left_I_IV,Right_PuM,R_insOperMean,0.632201,-5.00E-06,3.00E-06,0.00195,0.642328,0.367954004
Left_I_IV,Right_PuM,R_postCingMean,0.918158,-7.00E-06,1.00E-06,0.00195,0.084547,0.305866986
Left_I_IV,Right_PuM,R_tpjMean,0.621292,-8.00E-06,2.00E-06,0.00195,0.297012,0.908857709
Left_I_IV,Right_L_Sg,R_somatoMean,0.998039,-2.00E-06,2.00E-06,0.022529,0.829396,0.914564653
Left_I_IV,Right_L_Sg,R_antCingMean,0.291477,-3.00E-06,2.00E-06,0.022529,0.768709,0.185876415
Left_I_IV,Right_L_Sg,R_earlyAudMean,0.882957,-1.10E-05,1.00E-06,0.022529,0.148665,0.599338325
Left_I_IV,Right_L_Sg,R_assocAudMean,0.297077,-1.00E-06,4.00E-06,0.022529,0.348104,0.474556364
Left_I_IV,Right_L_Sg,R_insOperMean,0.411414,-3.00E-06,4.00E-06,0.022529,0.955903,0.367954004
Left_I_IV,Right_L_Sg,R_postCingMean,0.459922,-3.00E-06,2.00E-06,0.022529,0.682986,0.305866986
Left_I_IV,Right_L_Sg,R_tpjMean,0.595179,-1.00E-06,5.00E-06,0.022529,0.322243,0.908857709
Left_I_IV,Right_VPL,R_somatoMean,0.831051,-1.00E-06,3.00E-06,0.002223,0.820451,0.914564653
Left_I_IV,Right_VPL,R_antCingMean,0.734492,-5.00E-06,2.00E-06,0.002223,0.154647,0.185876415
Left_I_IV,Right_VPL,R_earlyAudMean,0.944043,-8.00E-06,2.00E-06,0.002223,0.363804,0.599338325
Left_I_IV,Right_VPL,R_assocAudMean,0.821333,-4.00E-06,2.00E-06,0.002223,0.511032,0.474556364
Left_I_IV,Right_VPL,R_insOperMean,0.809751,-6.00E-06,3.00E-06,0.002223,0.35906,0.367954004
Left_I_IV,Right_VPL,R_postCingMean,0.778832,-6.00E-06,0,0.002223,0.037815,0.305866986
Left_I_IV,Right_VPL,R_tpjMean,0.771453,-6.00E-06,3.00E-06,0.002223,0.489123,0.908857709
Left_I_IV,Right_CM,R_somatoMean,0.757853,-3.00E-06,2.00E-06,0.002671,0.468485,0.914564653
Left_I_IV,Right_CM,R_antCingMean,0.833711,-6.00E-06,0,0.002671,0.011757,0.185876415
Left_I_IV,Right_CM,R_earlyAudMean,0.994889,-9.00E-06,1.00E-06,0.002671,0.417933,0.599338325
Left_I_IV,Right_CM,R_insOperMean,0.677342,-5.00E-06,4.00E-06,0.002671,0.541631,0.367954004
Left_I_IV,Right_CM,R_postCingMean,0.730994,-6.00E-06,0,0.002671,0.025298,0.305866986
Left_I_IV,Right_CM,R_tpjMean,0.2737,-9.00E-06,0,0.002671,0.034082,0.908857709
Left_I_IV,Right_VLa,R_somatoMean,0.766583,-2.00E-06,2.00E-06,0.002664,0.48146,0.914564653
Left_I_IV,Right_VLa,R_antCingMean,0.795619,-7.00E-06,1.00E-06,0.002664,0.105764,0.185876415
Left_I_IV,Right_VLa,R_earlyAudMean,0.657223,-5.00E-06,5.00E-06,0.002664,0.982501,0.599338325
Left_I_IV,Right_VLa,R_assocAudMean,0.967419,-6.00E-06,1.00E-06,0.002664,0.308184,0.474556364
Left_I_IV,Right_VLa,R_insOperMean,0.753973,-5.00E-06,2.00E-06,0.002664,0.421557,0.367954004
Left_I_IV,Right_VLa,R_postCingMean,0.941935,-6.00E-06,1.00E-06,0.002664,0.144173,0.305866986
Left_I_IV,Right_VLa,R_tpjMean,0.502185,-9.00E-06,2.00E-06,0.002664,0.165482,0.908857709
Left_I_IV,Right_PuA,R_somatoMean,0.612102,-4.00E-06,0,0.02675,0.154556,0.914564653
Left_I_IV,Right_PuA,R_antCingMean,0.689672,-5.00E-06,0,0.02675,0.037755,0.185876415
Left_I_IV,Right_PuA,R_assocAudMean,0.943196,-6.00E-06,0,0.02675,0.0814,0.474556364
Left_I_IV,Right_PuA,R_insOperMean,0.622628,-3.00E-06,1.00E-06,0.02675,0.440669,0.367954004
Left_I_IV,Right_PuA,R_postCingMean,0.952993,-6.00E-06,0,0.02675,0.029614,0.305866986
Left_I_IV,Right_PuA,R_tpjMean,0.955629,-5.00E-06,2.00E-06,0.02675,0.706257,0.908857709
Left_I_IV,Right_MDm,R_somatoMean,0.650372,-4.00E-06,0,0.025789,0.196373,0.914564653
Left_I_IV,Right_MDm,R_antCingMean,0.760686,-5.00E-06,0,0.025789,0.020525,0.185876415
Left_I_IV,Right_MDm,R_earlyAudMean,0.890023,-5.00E-06,2.00E-06,0.025789,0.427226,0.599338325
Left_I_IV,Right_MDm,R_assocAudMean,0.868853,-6.00E-06,0,0.025789,0.050437,0.474556364
Left_I_IV,Right_MDm,R_insOperMean,0.442903,-3.00E-06,3.00E-06,0.025789,0.933389,0.367954004
Left_I_IV,Right_MDm,R_postCingMean,0.945924,-5.00E-06,0,0.025789,0.032717,0.305866986
Left_I_IV,Right_MDm,R_tpjMean,0.558241,-7.00E-06,1.00E-06,0.025789,0.107771,0.908857709
Left_I_IV,Right_Pf,R_somatoMean,0.659543,-3.00E-06,0,0.005616,0.29998,0.914564653
Left_I_IV,Right_Pf,R_antCingMean,0.9895,-5.00E-06,0,0.005616,0.019909,0.185876415
Left_I_IV,Right_Pf,R_earlyAudMean,0.956477,-7.00E-06,2.00E-06,0.005616,0.440799,0.599338325
Left_I_IV,Right_Pf,R_insOperMean,0.591131,-4.00E-06,4.00E-06,0.005616,0.652649,0.367954004
Left_I_IV,Right_Pf,R_tpjMean,0.4272,-7.00E-06,1.00E-06,0.005616,0.085997,0.908857709
Left_I_IV,Right_VAmc,R_somatoMean,0.91337,-1.00E-06,2.00E-06,0.029179,0.974872,0.914564653
Left_I_IV,Right_VAmc,R_antCingMean,0.627773,-5.00E-06,0,0.029179,0.059552,0.185876415
Left_I_IV,Right_VAmc,R_earlyAudMean,0.42429,-1.00E-06,7.00E-06,0.029179,0.429662,0.599338325
Left_I_IV,Right_VAmc,R_assocAudMean,0.614512,-3.00E-06,2.00E-06,0.029179,0.737734,0.474556364
Left_I_IV,Right_VAmc,R_insOperMean,0.498767,-3.00E-06,2.00E-06,0.029179,0.748347,0.367954004
Left_I_IV,Right_VAmc,R_postCingMean,0.478979,-3.00E-06,2.00E-06,0.029179,0.599108,0.305866986
Left_I_IV,Right_VAmc,R_tpjMean,0.973355,-5.00E-06,2.00E-06,0.029179,0.742113,0.908857709
Left_I_IV,Right_MDl,R_somatoMean,0.980383,-2.00E-06,1.00E-06,0.051974,0.741552,0.914564653
Left_I_IV,Right_MDl,R_antCingMean,0.498051,-4.00E-06,1.00E-06,0.051974,0.109107,0.185876415
Left_I_IV,Right_MDl,R_earlyAudMean,0.765788,-4.00E-06,3.00E-06,0.051974,0.621233,0.599338325
Left_I_IV,Right_MDl,R_assocAudMean,0.858898,-5.00E-06,1.00E-06,0.051974,0.185359,0.474556364
Left_I_IV,Right_MDl,R_insOperMean,0.429333,-3.00E-06,3.00E-06,0.051974,0.933837,0.367954004
Left_I_IV,Right_MDl,R_postCingMean,0.740334,-4.00E-06,0,0.051974,0.079754,0.305866986
Left_I_IV,Right_MDl,R_tpjMean,0.818301,-6.00E-06,2.00E-06,0.051974,0.369265,0.908857709
Left_I_IV,Right_CeM,R_somatoMean,0.820439,-3.00E-06,1.00E-06,0.022879,0.453332,0.914564653
Left_I_IV,Right_CeM,R_antCingMean,0.72466,-6.00E-06,0,0.022879,0.033577,0.185876415
Left_I_IV,Right_CeM,R_earlyAudMean,0.37817,-1.00E-06,1.10E-05,0.022879,0.339703,0.599338325
Left_I_IV,Right_CeM,R_assocAudMean,0.681219,-4.00E-06,3.00E-06,0.022879,0.594732,0.474556364
Left_I_IV,Right_CeM,R_insOperMean,0.48515,-4.00E-06,3.00E-06,0.022879,0.809953,0.367954004
Left_I_IV,Right_CeM,R_postCingMean,0.557726,-4.00E-06,1.00E-06,0.022879,0.431077,0.305866986
Left_I_IV,Right_CeM,R_tpjMean,0.985692,-6.00E-06,2.00E-06,0.022879,0.845501,0.908857709
Left_I_IV,Right_VA,R_somatoMean,0.811888,-2.00E-06,2.00E-06,0.012317,0.478855,0.914564653
Left_I_IV,Right_VA,R_antCingMean,0.660587,-6.00E-06,1.00E-06,0.012317,0.098094,0.185876415
Left_I_IV,Right_VA,R_earlyAudMean,0.514569,-2.00E-06,6.00E-06,0.012317,0.674631,0.599338325
Left_I_IV,Right_VA,R_assocAudMean,0.86132,-5.00E-06,1.00E-06,0.012317,0.328298,0.474556364
Left_I_IV,Right_VA,R_insOperMean,0.656715,-5.00E-06,2.00E-06,0.012317,0.455208,0.367954004
Left_I_IV,Right_VA,R_postCingMean,0.860256,-6.00E-06,1.00E-06,0.012317,0.10837,0.305866986
Left_I_IV,Right_VA,R_tpjMean,0.679837,-7.00E-06,2.00E-06,0.012317,0.275429,0.908857709
Left_I_IV,Right_MV_Re,R_somatoMean,0.784692,-4.00E-06,0,0.22902,0.113801,0.914564653
Left_I_IV,Right_MV_Re,R_antCingMean,0.39293,-4.00E-06,0,0.22902,0.022601,0.185876415
Left_I_IV,Right_MV_Re,R_earlyAudMean,0.597188,-2.00E-06,4.00E-06,0.22902,0.905431,0.599338325
Left_I_IV,Right_MV_Re,R_assocAudMean,0.637837,-3.00E-06,1.00E-06,0.22902,0.340864,0.474556364
Left_I_IV,Right_MV_Re,R_insOperMean,0.34382,-2.00E-06,3.00E-06,0.22902,0.707623,0.367954004
Left_I_IV,Right_MV_Re,R_postCingMean,0.419613,-2.00E-06,1.00E-06,0.22902,0.43197,0.305866986
Left_I_IV,Right_MV_Re,R_tpjMean,0.993532,-4.00E-06,1.00E-06,0.22902,0.616964,0.908857709
Left_I_IV,Right_VM,R_somatoMean,0.888945,-2.00E-06,3.00E-06,0.003817,0.924094,0.914564653
Left_I_IV,Right_VM,R_antCingMean,0.650888,-5.00E-06,2.00E-06,0.003817,0.189426,0.185876415
