cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Right_I_IV,Left_LGN,L_somatoMean,0.477036,-3.00E-06,3.00E-06,0.001851,0.829053,0.466978635
Right_I_IV,Left_LGN,L_antCingMean,0.14694,-3.00E-06,5.00E-06,0.001851,0.657564,0.138426579
Right_I_IV,Left_LGN,L_earlyAudMean,0.94839,-2.00E-06,2.00E-06,0.001851,0.908786,0.9996835
Right_I_IV,Left_LGN,L_assocAudMean,0.902275,-4.00E-06,2.00E-06,0.001851,0.522784,0.555532584
Right_I_IV,Left_LGN,L_insOperMean,0.896003,-1.20E-05,0,0.001851,0.086507,0.198941511
Right_I_IV,Left_LGN,L_postCingMean,0.893884,-4.00E-06,1.00E-06,0.001851,0.259356,0.355182765
Right_I_IV,Left_LGN,L_tpjMean,0.63148,-9.00E-06,2.00E-06,0.001851,0.209661,0.160642432
Right_I_IV,Left_MGN,L_somatoMean,0.026683,-8.00E-06,0,0.004476,0.004495,0.466978635
Right_I_IV,Left_MGN,L_antCingMean,0.871416,-1.00E-05,0,0.004476,0.023473,0.138426579
Right_I_IV,Left_MGN,L_earlyAudMean,0.786404,-3.00E-06,2.00E-06,0.004476,0.604121,0.9996835
Right_I_IV,Left_MGN,L_assocAudMean,0.836491,-5.00E-06,1.00E-06,0.004476,0.576907,0.555532584
Right_I_IV,Left_MGN,L_insOperMean,0.594502,-8.00E-06,0,0.004476,0.266391,0.198941511
Right_I_IV,Left_MGN,L_postCingMean,0.936457,-4.00E-06,0,0.004476,0.168695,0.355182765
Right_I_IV,Left_MGN,L_tpjMean,0.706859,-1.00E-05,0,0.004476,0.097039,0.160642432
Right_I_IV,Left_PuI,L_somatoMean,0.288321,-2.00E-06,2.00E-06,0.168888,0.187715,0.466978635
Right_I_IV,Left_PuI,L_antCingMean,0.113301,-1.00E-06,2.00E-06,0.168888,0.499562,0.138426579
Right_I_IV,Left_PuI,L_earlyAudMean,0.734615,-2.00E-06,1.00E-06,0.168888,0.212165,0.9996835
Right_I_IV,Left_PuI,L_assocAudMean,0.683658,-3.00E-06,1.00E-06,0.168888,0.565299,0.555532584
Right_I_IV,Left_PuI,L_insOperMean,0.444914,-1.10E-05,1.00E-06,0.168888,0.039108,0.198941511
Right_I_IV,Left_PuI,L_postCingMean,0.538677,-3.00E-06,1.00E-06,0.168888,0.29471,0.355182765
Right_I_IV,Left_PuI,L_tpjMean,0.221491,-5.00E-06,3.00E-06,0.168888,0.668813,0.160642432
Right_I_IV,Left_PuM,L_somatoMean,0.101937,-5.00E-06,0,0.005422,0.055401,0.466978635
Right_I_IV,Left_PuM,L_antCingMean,0.3625,-6.00E-06,1.00E-06,0.005422,0.470849,0.138426579
Right_I_IV,Left_PuM,L_earlyAudMean,0.798826,-2.00E-06,2.00E-06,0.005422,0.619268,0.9996835
Right_I_IV,Left_PuM,L_assocAudMean,0.717507,-4.00E-06,1.00E-06,0.005422,0.789313,0.555532584
Right_I_IV,Left_PuM,L_insOperMean,0.992925,-1.60E-05,0,0.005422,0.022425,0.198941511
Right_I_IV,Left_PuM,L_postCingMean,0.714968,-6.00E-06,0,0.005422,0.021622,0.355182765
Right_I_IV,Left_PuM,L_tpjMean,0.402427,-8.00E-06,2.00E-06,0.005422,0.46605,0.160642432
Right_I_IV,Left_L_Sg,L_somatoMean,0.733541,-1.00E-06,7.00E-06,0.009279,0.54736,0.466978635
Right_I_IV,Left_L_Sg,L_antCingMean,0.109185,-3.00E-06,5.00E-06,0.009279,0.493197,0.138426579
Right_I_IV,Left_L_Sg,L_earlyAudMean,0.755665,-1.00E-06,6.00E-06,0.009279,0.520026,0.9996835
Right_I_IV,Left_L_Sg,L_assocAudMean,0.585807,-4.00E-06,2.00E-06,0.009279,0.936049,0.555532584
Right_I_IV,Left_L_Sg,L_insOperMean,0.238738,-3.00E-06,6.00E-06,0.009279,0.87872,0.198941511
Right_I_IV,Left_L_Sg,L_postCingMean,0.3094,-1.00E-06,4.00E-06,0.009279,0.644247,0.355182765
Right_I_IV,Left_L_Sg,L_tpjMean,0.084848,-2.00E-06,8.00E-06,0.009279,0.286949,0.160642432
Right_I_IV,Left_VPL,L_somatoMean,0.419277,-2.00E-06,3.00E-06,0.002876,0.700281,0.466978635
Right_I_IV,Left_VPL,L_antCingMean,0.567421,-7.00E-06,2.00E-06,0.002876,0.193769,0.138426579
Right_I_IV,Left_VPL,L_earlyAudMean,0.703241,-2.00E-06,4.00E-06,0.002876,0.483492,0.9996835
