cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_I_IV,Right_VPL,R_earlyAudMean,0.000545,1.00E-06,1.20E-05,0.000002,0.000277,0.220837116
Left_I_IV,Right_MDm,R_earlyAudMean,0.00112,1.00E-06,1.50E-05,0,0.001454,0.220837116
Left_I_IV,Right_MDl,R_somatoMean,0.011713,3.00E-06,1.80E-05,0,0.000822,0.786129066
Left_I_IV,Right_MDl,R_earlyAudMean,0.000003,5.00E-06,1.90E-05,0,0.000002,0.220837116
Left_I_IV,Right_VM,R_earlyAudMean,0.000164,1.00E-06,1.30E-05,0.000003,0.000044,0.220837116
Left_I_IV,Right_Pt,R_somatoMean,0.019421,2.00E-06,1.30E-05,0,0.000479,0.786129066
Left_I_IV,Right_Pt,R_earlyAudMean,0.000016,2.00E-06,1.40E-05,0,0.000004,0.220837116
Left_I_IV,Right_AV,R_somatoMean,0.030963,1.00E-06,1.10E-05,0.000038,0.000158,0.786129066
Left_V,Right_MDl,R_earlyAudMean,0.00003,3.00E-06,1.20E-05,0,0.000015,0.245827434
Left_V,Right_VM,R_earlyAudMean,0.001233,1.00E-06,8.00E-06,0.000034,0.000303,0.245827434
Left_V,Right_Pt,R_earlyAudMean,0.000079,1.00E-06,1.00E-05,0.000001,0.000017,0.245827434
Left_VI,Right_MDl,R_earlyAudMean,0.000032,1.00E-06,5.00E-06,0,0.000016,0.238668613
Left_CrusI,Right_MDl,R_earlyAudMean,0.000236,1.00E-06,3.00E-06,0,0.000125,0.222702367
Left_VIIb,Right_LGN,R_antCingMean,0.00317,1.00E-06,6.00E-06,0.000093,0.007832,0.090437648
Left_VIIb,Right_MDl,R_earlyAudMean,0.001444,1.00E-06,6.00E-06,0.000014,0.00083,0.19709958
Left_VIIb,Right_VM,R_earlyAudMean,0.000266,1.00E-06,7.00E-06,0.000011,0.000078,0.19709958
Left_VIIIa,Right_LGN,R_antCingMean,0.005467,1.00E-06,6.00E-06,0.000047,0.009869,0.131418648
Left_VIIIa,Right_MDl,R_earlyAudMean,0.000887,1.00E-06,7.00E-06,0.000003,0.00047,0.220750533
Left_VIIIa,Right_VM,R_earlyAudMean,0.000207,1.00E-06,7.00E-06,0.000004,0.000056,0.220750533
Left_VIIIb,Right_MDl,R_earlyAudMean,0.00021,1.00E-06,9.00E-06,0.000004,0.000163,0.13630408
Left_VIIIb,Right_VM,R_earlyAudMean,0.000146,1.00E-06,9.00E-06,0.000029,0.000058,0.13630408
Left_IX,Right_VPL,R_earlyAudMean,0.000082,1.00E-06,1.30E-05,0,0.000051,0.168800645
Left_IX,Right_VM,R_earlyAudMean,0.000035,1.00E-06,1.20E-05,0.000002,0.000012,0.168800645
Left_IX,Right_Pt,R_somatoMean,0.034867,1.00E-06,1.20E-05,0.000001,0.000832,0.765701246
Left_IX,Right_Pt,R_earlyAudMean,0.000015,1.00E-06,1.30E-05,0.000001,0.000004,0.168800645
Left_IX,Right_AV,R_somatoMean,0.038712,1.00E-06,1.00E-05,0.000051,0.000196,0.765701246
Left_IX,Right_LP,R_antCingMean,0.040264,1.00E-06,8.00E-06,0.000668,0.008748,0.446876143
Left_X,Right_VPL,R_earlyAudMean,0.008779,1.00E-06,4.00E-05,0.000078,0.003539,0.290187138
Left_X,Right_MDl,R_earlyAudMean,0.001671,8.00E-06,5.10E-05,0.000002,0.000721,0.290187138
Left_X,Right_VM,R_earlyAudMean,0.005863,1.00E-06,4.00E-05,0.000234,0.001242,0.290187138
Left_X,Right_Pt,R_earlyAudMean,0.002232,2.00E-06,4.40E-05,0.000058,0.000414,0.290187138
Left_Dentate,Right_LGN,R_antCingMean,0.047136,1.00E-06,1.90E-05,0.000012,0.035362,0.406782331
Left_Dentate,Right_VPL,R_earlyAudMean,0.005474,2.00E-06,2.50E-05,0,0.001296,0.752645628
Left_Dentate,Right_CM,R_earlyAudMean,0.005896,1.00E-06,2.40E-05,0,0.000929,0.752645628
Left_Dentate,Right_PuA,R_earlyAudMean,0.034227,1.00E-06,1.90E-05,0,0.009976,0.752645628
Left_Dentate,Right_Pf,R_earlyAudMean,0.008954,2.00E-06,2.40E-05,0,0.001382,0.752645628
Left_Dentate,Right_MDl,R_earlyAudMean,0.006426,5.00E-06,2.30E-05,0,0.001587,0.752645628
Left_Dentate,Right_VM,R_earlyAudMean,0.002156,3.00E-06,2.50E-05,0,0.000274,0.752645628
Left_Dentate,Right_Pt,R_earlyAudMean,0.000427,5.00E-06,2.90E-05,0,0.000048,0.752645628
Left_Dentate,Right_AV,R_earlyAudMean,0.003193,2.00E-06,2.40E-05,0,0.000363,0.752645628
Left_Dentate,Right_LP,R_antCingMean,0.017485,3.00E-06,1.80E-05,0.000118,0.004172,0.406782331
Left_Interposed,Right_VLa,R_tpjMean,0.017346,-7.40E-05,-3.00E-06,0.000021,0.01051,0.330258814
Left_Interposed,Right_MDm,R_tpjMean,0.025192,-7.60E-05,-5.00E-06,0.000001,0.025746,0.330258814
Left_Interposed,Right_VAmc,R_tpjMean,0.017777,-6.90E-05,-7.00E-06,0.000076,0.008394,0.330258814
Left_Interposed,Right_VA,R_tpjMean,0.022097,-7.60E-05,-5.00E-06,0.00001,0.017194,0.330258814
Left_Interposed,Right_Pc,R_tpjMean,0.023746,-6.20E-05,-2.00E-06,0.000117,0.012472,0.330258814
Left_Interposed,Right_VLp,R_tpjMean,0.030754,-7.00E-05,-1.00E-06,0.000015,0.026777,0.330258814
