cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_I_IV,Right_PuM,R_somatoMean,0.272605,1.00E-06,9.00E-06,0.000057,0.027208,0.786129066
Left_I_IV,Right_VPL,R_somatoMean,0.137695,1.00E-06,1.10E-05,0.000002,0.013836,0.786129066
Left_I_IV,Right_MDm,R_somatoMean,0.067533,1.00E-06,1.60E-05,0,0.009743,0.786129066
Left_I_IV,Right_Pf,R_somatoMean,0.064804,1.00E-06,1.30E-05,0.000006,0.001919,0.786129066
Left_V,Right_VPL,R_somatoMean,0.335863,1.00E-06,7.00E-06,0.000013,0.031873,0.61407534
Left_V,Right_MDl,R_somatoMean,0.058129,2.00E-06,1.10E-05,0,0.004076,0.61407534
Left_V,Right_Pt,R_somatoMean,0.070199,1.00E-06,1.00E-05,0.000001,0.001713,0.61407534
Left_V,Right_AV,R_somatoMean,0.059121,1.00E-06,8.00E-06,0.000023,0.000312,0.61407534
Left_V,Right_LP,R_antCingMean,0.220818,1.00E-06,4.00E-06,0.00343,0.030788,0.797200155
Left_VI,Right_MDl,R_somatoMean,0.071334,1.00E-06,5.00E-06,0,0.005015,0.588243844
Left_VI,Right_Pt,R_somatoMean,0.122194,1.00E-06,4.00E-06,0.000006,0.002841,0.588243844
Left_VI,Right_AV,R_somatoMean,0.084411,1.00E-06,3.00E-06,0.000045,0.000435,0.588243844
Left_VIIb,Right_MDl,R_somatoMean,0.134948,1.00E-06,6.00E-06,0.000014,0.007807,0.796722399
Left_VIIIa,Right_MDl,R_somatoMean,0.146841,1.00E-06,6.00E-06,0.000003,0.008865,0.683270441
Left_VIIIb,Right_LGN,R_antCingMean,0.058054,1.00E-06,8.00E-06,0.000034,0.043502,0.405580405
Left_VIIIb,Right_VPL,R_somatoMean,0.219094,1.00E-06,8.00E-06,0.00001,0.020917,0.744333963
Left_VIIIb,Right_MDl,R_somatoMean,0.126095,1.00E-06,8.00E-06,0.000004,0.007524,0.744333963
Left_VIIIb,Right_Pt,R_somatoMean,0.082764,1.00E-06,9.00E-06,0.000016,0.001833,0.744333963
Left_IX,Right_VPL,R_somatoMean,0.118115,1.00E-06,1.10E-05,0,0.012191,0.765701246
Left_IX,Right_MDl,R_somatoMean,0.150443,1.00E-06,9.00E-06,0.000014,0.008676,0.765701246
Left_IX,Right_LP,R_somatoMean,0.131159,1.00E-06,8.00E-06,0.000668,0.000886,0.765701246
Left_X,Right_LGN,R_assocAudMean,0.263877,2.00E-06,2.80E-05,0.000148,0.013786,0.730484547
Left_X,Right_PuM,R_somatoMean,0.829983,1.00E-06,2.90E-05,0.001642,0.070568,0.464257649
Left_X,Right_VPL,R_somatoMean,0.61013,2.00E-06,3.40E-05,0.000078,0.05557,0.464257649
Left_X,Right_VAmc,R_tpjMean,0.233909,-1.90E-05,-1.00E-06,0.001165,0.057988,0.780925802
Left_X,Right_MDl,R_somatoMean,0.296532,6.00E-06,4.40E-05,0.000002,0.019293,0.464257649
Left_X,Right_MDl,R_assocAudMean,0.310894,2.00E-06,3.10E-05,0.000002,0.061557,0.730484547
Left_X,Right_Pt,R_somatoMean,0.313908,3.00E-06,4.40E-05,0.000058,0.006914,0.464257649
Left_X,Right_AV,R_somatoMean,0.299744,2.00E-06,4.00E-05,0.000614,0.001376,0.464257649
Left_X,Right_LP,R_somatoMean,0.393135,1.00E-06,4.00E-05,0.001128,0.002605,0.464257649
Left_X,Right_LP,R_antCingMean,0.097094,3.00E-06,3.50E-05,0.001128,0.016628,0.614152202
Left_Dentate,Right_LGN,R_assocAudMean,0.384464,1.00E-06,1.10E-05,0.000012,0.02294,0.466825655
Left_Dentate,Right_LGN,R_tpjMean,0.059525,1.00E-06,1.20E-05,0.000012,0.01269,0.71884478
Left_Dentate,Right_Pf,R_somatoMean,0.518432,1.00E-06,2.10E-05,0,0.027524,0.168730068
Left_Dentate,Right_VAmc,R_tpjMean,0.248019,-1.60E-05,-1.00E-06,0,0.062848,0.71884478
Left_Dentate,Right_MDl,R_somatoMean,0.564027,1.00E-06,2.00E-05,0,0.065432,0.168730068
Left_Dentate,Right_AV,R_somatoMean,0.159246,2.00E-06,2.50E-05,0,0.001727,0.168730068
Left_Interposed,Right_LP,R_antCingMean,0.694319,7.00E-06,5.90E-05,0.000216,0.085195,0.510770705
Left_Fastigial,Right_MDm,R_somatoMean,0.630282,2.00E-06,0.000335,0.000027,0.077974,0.458488475
Left_Fastigial,Right_MDl,R_somatoMean,0.448568,1.20E-05,0.000385,0.00003,0.026158,0.458488475
Left_Fastigial,Right_MDl,R_earlyAudMean,0.175829,5.00E-06,0.000309,0.00003,0.034449,0.946348539
Left_Fastigial,Right_VA,R_somatoMean,0.451293,5.00E-06,0.000422,0.000018,0.030912,0.458488475
Left_Fastigial,Right_AV,R_somatoMean,0.152081,2.00E-05,0.00053,0.000045,0.000818,0.458488475
Left_Fastigial,Right_LP,R_somatoMean,0.643974,3.00E-06,0.000317,0.010851,0.003482,0.458488475
Left_Fastigial,Right_LP,R_antCingMean,0.094802,2.00E-06,0.000283,0.010851,0.019541,0.444868007
