cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_I_IV,Right_LGN,R_somatoMean,0.502322,0,6.00E-06,0.000591,0.081907,0.786129066
Left_I_IV,Right_LGN,R_antCingMean,0.216865,0,7.00E-06,0.000591,0.117734,0.62316417
Left_I_IV,Right_LGN,R_earlyAudMean,0.148223,-1.00E-06,4.00E-06,0.000591,0.42623,0.220837116
Left_I_IV,Right_LGN,R_assocAudMean,0.366476,0,6.00E-06,0.000591,0.017949,0.697704789
Left_I_IV,Right_LGN,R_insOperMean,0.224769,0,6.00E-06,0.000591,0.150181,0.584920171
Left_I_IV,Right_LGN,R_postCingMean,0.511446,-1.00E-06,4.00E-06,0.000591,0.438927,0.76149693
Left_I_IV,Right_LGN,R_tpjMean,0.065649,0,6.00E-06,0.000591,0.016428,0.51168184
Left_I_IV,Right_MGN,R_somatoMean,0.777062,-2.00E-06,5.00E-06,0.000104,0.376375,0.786129066
Left_I_IV,Right_MGN,R_antCingMean,0.36505,-2.00E-06,6.00E-06,0.000104,0.375278,0.62316417
Left_I_IV,Right_MGN,R_earlyAudMean,0.087697,-1.00E-06,5.00E-06,0.000104,0.212384,0.220837116
Left_I_IV,Right_MGN,R_assocAudMean,0.829479,-1.00E-06,4.00E-06,0.000104,0.350154,0.697704789
Left_I_IV,Right_MGN,R_insOperMean,0.30785,-2.00E-06,5.00E-06,0.000104,0.314111,0.584920171
Left_I_IV,Right_MGN,R_postCingMean,0.259505,-1.00E-06,5.00E-06,0.000104,0.126584,0.76149693
Left_I_IV,Right_MGN,R_tpjMean,0.203797,-1.00E-06,5.00E-06,0.000104,0.199151,0.51168184
Left_I_IV,Right_PuI,R_somatoMean,0.454415,0,8.00E-06,0.000019,0.12065,0.786129066
Left_I_IV,Right_PuI,R_antCingMean,0.409102,-1.00E-06,6.00E-06,0.000019,0.472078,0.62316417
Left_I_IV,Right_PuI,R_earlyAudMean,0.084514,-1.00E-06,6.00E-06,0.000019,0.210873,0.220837116
Left_I_IV,Right_PuI,R_assocAudMean,0.918428,-2.00E-06,3.00E-06,0.000019,0.744064,0.697704789
Left_I_IV,Right_PuI,R_insOperMean,0.698949,-3.00E-06,3.00E-06,0.000019,0.94936,0.584920171
Left_I_IV,Right_PuI,R_postCingMean,0.775098,-3.00E-06,4.00E-06,0.000019,0.935955,0.76149693
Left_I_IV,Right_PuI,R_tpjMean,0.455788,-2.00E-06,5.00E-06,0.000019,0.702186,0.51168184
Left_I_IV,Right_PuM,R_antCingMean,0.438658,-3.00E-06,6.00E-06,0.000057,0.515954,0.62316417
Left_I_IV,Right_PuM,R_earlyAudMean,0.011335,0,9.00E-06,0.000057,0.010589,0.220837116
Left_I_IV,Right_PuM,R_assocAudMean,0.849838,-1.00E-06,4.00E-06,0.000057,0.392791,0.697704789
Left_I_IV,Right_PuM,R_insOperMean,0.442475,-2.00E-06,5.00E-06,0.000057,0.572415,0.584920171
Left_I_IV,Right_PuM,R_postCingMean,0.56798,-2.00E-06,4.00E-06,0.000057,0.576059,0.76149693
Left_I_IV,Right_PuM,R_tpjMean,0.42161,-2.00E-06,4.00E-06,0.000057,0.634212,0.51168184
Left_I_IV,Right_L_Sg,R_somatoMean,0.912495,-3.00E-06,3.00E-06,0.000153,0.839897,0.786129066
Left_I_IV,Right_L_Sg,R_antCingMean,0.407941,-2.00E-06,7.00E-06,0.000153,0.447621,0.62316417
Left_I_IV,Right_L_Sg,R_earlyAudMean,0.097913,-2.00E-06,6.00E-06,0.000153,0.244777,0.220837116
Left_I_IV,Right_L_Sg,R_assocAudMean,0.696752,-2.00E-06,2.00E-06,0.000153,0.898,0.697704789
Left_I_IV,Right_L_Sg,R_insOperMean,0.629383,-3.00E-06,2.00E-06,0.000153,0.950063,0.584920171
Left_I_IV,Right_L_Sg,R_postCingMean,0.710446,-2.00E-06,3.00E-06,0.000153,0.82598,0.76149693
Left_I_IV,Right_L_Sg,R_tpjMean,0.344519,-2.00E-06,4.00E-06,0.000153,0.465918,0.51168184
Left_I_IV,Right_VPL,R_antCingMean,0.647972,-4.00E-06,5.00E-06,0.000002,0.884933,0.62316417
Left_I_IV,Right_VPL,R_assocAudMean,0.806779,-2.00E-06,5.00E-06,0.000002,0.430619,0.697704789
Left_I_IV,Right_VPL,R_insOperMean,0.317368,-2.00E-06,7.00E-06,0.000002,0.372453,0.584920171
Left_I_IV,Right_VPL,R_postCingMean,0.362818,-2.00E-06,6.00E-06,0.000002,0.307609,0.76149693
Left_I_IV,Right_VPL,R_tpjMean,0.639958,-3.00E-06,3.00E-06,0.000002,0.98475,0.51168184
Left_I_IV,Right_CM,R_somatoMean,0.118886,0,1.10E-05,0.000008,0.006667,0.786129066
Left_I_IV,Right_CM,R_antCingMean,0.893398,-1.00E-05,3.00E-06,0.000008,0.422595,0.62316417
Left_I_IV,Right_CM,R_earlyAudMean,0.000551,0,1.20E-05,0.000008,0.000187,0.220837116
Left_I_IV,Right_CM,R_assocAudMean,0.669803,-1.00E-06,5.00E-06,0.000008,0.2562,0.697704789
Left_I_IV,Right_CM,R_insOperMean,0.263088,-3.00E-06,7.00E-06,0.000008,0.271501,0.584920171
Left_I_IV,Right_CM,R_postCingMean,0.361201,-2.00E-06,5.00E-06,0.000008,0.286212,0.76149693
Left_I_IV,Right_CM,R_tpjMean,0.762221,-4.00E-06,2.00E-06,0.000008,0.754291,0.51168184
Left_I_IV,Right_VLa,R_somatoMean,0.247525,-1.00E-06,1.10E-05,0.000004,0.03987,0.786129066
Left_I_IV,Right_VLa,R_antCingMean,0.807696,-9.00E-06,2.00E-06,0.000004,0.348958,0.62316417
Left_I_IV,Right_VLa,R_earlyAudMean,0.004425,-1.00E-06,1.10E-05,0.000004,0.004213,0.220837116
Left_I_IV,Right_VLa,R_assocAudMean,0.876925,-4.00E-06,4.00E-06,0.000004,0.835429,0.697704789
Left_I_IV,Right_VLa,R_insOperMean,0.44532,-4.00E-06,6.00E-06,0.000004,0.586889,0.584920171
Left_I_IV,Right_VLa,R_postCingMean,0.754203,-4.00E-06,4.00E-06,0.000004,0.894874,0.76149693
Left_I_IV,Right_VLa,R_tpjMean,0.763462,-5.00E-06,1.00E-06,0.000004,0.223856,0.51168184
Left_I_IV,Right_PuA,R_somatoMean,0.365783,0,9.00E-06,0.000018,0.07285,0.786129066
Left_I_IV,Right_PuA,R_antCingMean,0.877323,-9.00E-06,4.00E-06,0.000018,0.382638,0.62316417
Left_I_IV,Right_PuA,R_earlyAudMean,0.003545,0,1.00E-05,0.000018,0.002297,0.220837116
Left_I_IV,Right_PuA,R_assocAudMean,0.947329,-1.00E-06,5.00E-06,0.000018,0.549551,0.697704789
Left_I_IV,Right_PuA,R_insOperMean,0.474874,-2.00E-06,5.00E-06,0.000018,0.637993,0.584920171
Left_I_IV,Right_PuA,R_postCingMean,0.828747,-3.00E-06,4.00E-06,0.000018,0.974544,0.76149693
Left_I_IV,Right_PuA,R_tpjMean,0.791277,-3.00E-06,3.00E-06,0.000018,0.687969,0.51168184
Left_I_IV,Right_MDm,R_antCingMean,0.370024,-1.60E-05,5.00E-06,0,0.1132,0.62316417
Left_I_IV,Right_MDm,R_assocAudMean,0.876483,-3.00E-06,6.00E-06,0,0.595495,0.697704789
Left_I_IV,Right_MDm,R_insOperMean,0.276313,-4.00E-06,1.00E-05,0,0.332398,0.584920171
Left_I_IV,Right_MDm,R_postCingMean,0.617128,-5.00E-06,7.00E-06,0,0.688059,0.76149693
Left_I_IV,Right_MDm,R_tpjMean,0.917109,-5.00E-06,3.00E-06,0,0.489775,0.51168184
Left_I_IV,Right_Pf,R_antCingMean,0.708244,-8.00E-06,5.00E-06,0.000006,0.997801,0.62316417
Left_I_IV,Right_Pf,R_earlyAudMean,0.000468,0,1.30E-05,0.000006,0.000158,0.220837116
Left_I_IV,Right_Pf,R_assocAudMean,0.31491,0,7.00E-06,0.000006,0.044628,0.697704789
Left_I_IV,Right_Pf,R_insOperMean,0.128206,-1.00E-06,9.00E-06,0.000006,0.088302,0.584920171
Left_I_IV,Right_Pf,R_postCingMean,0.159191,0,7.00E-06,0.000006,0.070235,0.76149693
Left_I_IV,Right_Pf,R_tpjMean,0.48533,-3.00E-06,3.00E-06,0.000006,0.754135,0.51168184
Left_I_IV,Right_VAmc,R_somatoMean,0.160375,-2.00E-06,1.10E-05,0.000003,0.016678,0.786129066
Left_I_IV,Right_VAmc,R_antCingMean,0.541733,-1.30E-05,2.00E-06,0.000003,0.139715,0.62316417
Left_I_IV,Right_VAmc,R_earlyAudMean,0.00163,0,1.10E-05,0.000003,0.001101,0.220837116
Left_I_IV,Right_VAmc,R_assocAudMean,0.906448,-4.00E-06,5.00E-06,0.000003,0.537393,0.697704789
Left_I_IV,Right_VAmc,R_insOperMean,0.209714,-4.00E-06,8.00E-06,0.000003,0.200815,0.584920171
Left_I_IV,Right_VAmc,R_postCingMean,0.564737,-4.00E-06,5.00E-06,0.000003,0.595231,0.76149693
Left_I_IV,Right_VAmc,R_tpjMean,0.652001,-6.00E-06,0,0.000003,0.153597,0.51168184
Left_I_IV,Right_MDl,R_antCingMean,0.679398,-1.00E-05,1.10E-05,0,0.887005,0.62316417
Left_I_IV,Right_MDl,R_assocAudMean,0.150521,0,1.10E-05,0,0.03382,0.697704789
Left_I_IV,Right_MDl,R_insOperMean,0.140043,-2.00E-06,1.10E-05,0,0.146793,0.584920171
Left_I_IV,Right_MDl,R_postCingMean,0.081622,0,1.10E-05,0,0.04904,0.76149693
Left_I_IV,Right_MDl,R_tpjMean,0.383858,-3.00E-06,7.00E-06,0,0.549979,0.51168184
Left_I_IV,Right_CeM,R_somatoMean,0.179725,-1.00E-06,1.00E-05,0.000046,0.010002,0.786129066
Left_I_IV,Right_CeM,R_antCingMean,0.673584,-1.10E-05,3.00E-06,0.000046,0.169441,0.62316417
Left_I_IV,Right_CeM,R_earlyAudMean,0.002921,0,1.00E-05,0.000046,0.001359,0.220837116
Left_I_IV,Right_CeM,R_assocAudMean,0.761746,-2.00E-06,5.00E-06,0.000046,0.300359,0.697704789
Left_I_IV,Right_CeM,R_insOperMean,0.141685,-2.00E-06,7.00E-06,0.000046,0.085453,0.584920171
Left_I_IV,Right_CeM,R_postCingMean,0.314632,-2.00E-06,6.00E-06,0.000046,0.20071,0.76149693
Left_I_IV,Right_CeM,R_tpjMean,0.970843,-4.00E-06,1.00E-06,0.000046,0.407977,0.51168184
Left_I_IV,Right_VA,R_somatoMean,0.1247,0,1.10E-05,0.000005,0.008562,0.786129066
Left_I_IV,Right_VA,R_antCingMean,0.690043,-1.10E-05,3.00E-06,0.000005,0.234892,0.62316417
Left_I_IV,Right_VA,R_earlyAudMean,0.001421,0,1.10E-05,0.000005,0.000816,0.220837116
Left_I_IV,Right_VA,R_assocAudMean,0.953289,-3.00E-06,5.00E-06,0.000005,0.587262,0.697704789
Left_I_IV,Right_VA,R_insOperMean,0.192463,-2.00E-06,8.00E-06,0.000005,0.17164,0.584920171
Left_I_IV,Right_VA,R_postCingMean,0.484816,-3.00E-06,5.00E-06,0.000005,0.46868,0.76149693
Left_I_IV,Right_VA,R_tpjMean,0.89066,-4.00E-06,1.00E-06,0.000005,0.326946,0.51168184
Left_I_IV,Right_MV_Re,R_somatoMean,0.238188,0,8.00E-06,0.001113,0.00512,0.786129066
Left_I_IV,Right_MV_Re,R_antCingMean,0.631718,-5.00E-06,4.00E-06,0.001113,0.907826,0.62316417
Left_I_IV,Right_MV_Re,R_earlyAudMean,0.011076,0,7.00E-06,0.001113,0.004579,0.220837116
Left_I_IV,Right_MV_Re,R_assocAudMean,0.616673,-1.00E-06,4.00E-06,0.001113,0.09002,0.697704789
Left_I_IV,Right_MV_Re,R_insOperMean,0.110172,-1.00E-06,6.00E-06,0.001113,0.026957,0.584920171
Left_I_IV,Right_MV_Re,R_postCingMean,0.255135,0,5.00E-06,0.001113,0.080558,0.76149693
Left_I_IV,Right_MV_Re,R_tpjMean,0.748986,-3.00E-06,2.00E-06,0.001113,0.61493,0.51168184
Left_I_IV,Right_VM,R_somatoMean,0.211663,0,1.00E-05,0.000003,0.029171,0.786129066
Left_I_IV,Right_VM,R_antCingMean,0.750644,-9.00E-06,2.00E-06,0.000003,0.296493,0.62316417
Left_I_IV,Right_VM,R_assocAudMean,0.880452,-2.00E-06,4.00E-06,0.000003,0.502025,0.697704789
Left_I_IV,Right_VM,R_insOperMean,0.389977,-3.00E-06,6.00E-06,0.000003,0.490614,0.584920171
Left_I_IV,Right_VM,R_postCingMean,0.333241,-2.00E-06,6.00E-06,0.000003,0.261046,0.76149693
Left_I_IV,Right_VM,R_tpjMean,0.840175,-4.00E-06,2.00E-06,0.000003,0.659232,0.51168184
Left_I_IV,Right_CL,R_somatoMean,0.380375,0,5.00E-06,0.057434,0.000289,0.786129066
Left_I_IV,Right_CL,R_antCingMean,0.354122,-1.00E-06,4.00E-06,0.057434,0.134518,0.62316417
Left_I_IV,Right_CL,R_earlyAudMean,0.053387,0,3.00E-06,0.057434,0.01903,0.220837116
Left_I_IV,Right_CL,R_assocAudMean,0.675484,0,3.00E-06,0.057434,0.008841,0.697704789
Left_I_IV,Right_CL,R_insOperMean,0.172569,-1.00E-06,4.00E-06,0.057434,0.009112,0.584920171
Left_I_IV,Right_CL,R_postCingMean,0.329761,0,3.00E-06,0.057434,0.028669,0.76149693
Left_I_IV,Right_CL,R_tpjMean,0.256351,0,3.00E-06,0.057434,0.099199,0.51168184
Left_I_IV,Right_PuL,R_somatoMean,0.391786,0,9.00E-06,0.000068,0.067046,0.786129066
Left_I_IV,Right_PuL,R_antCingMean,0.464932,-2.00E-06,4.00E-06,0.000068,0.563655,0.62316417
Left_I_IV,Right_PuL,R_earlyAudMean,0.009113,0,9.00E-06,0.000068,0.007286,0.220837116
Left_I_IV,Right_PuL,R_assocAudMean,0.764352,-1.00E-06,4.00E-06,0.000068,0.292093,0.697704789
Left_I_IV,Right_PuL,R_insOperMean,0.318799,-1.00E-06,6.00E-06,0.000068,0.339388,0.584920171
