"cer","thal","neo","directP","indirectBootLLCI","indirectBootULCI","a_pval","b_pval","linmod_pval"
"Right_I_IV","Left_PuA","L_insOperMean","0.186540","1e-06","1e-05","0.000005","0.032910","0.912766876464739"
"Right_I_IV","Left_Pf","L_insOperMean","0.106375","1e-06","1.3e-05","0.000000","0.026365","0.912766876464739"
"Right_I_IV","Left_Pf","L_tpjMean","0.223074","1e-06","7e-06","0.000000","0.037458","0.589887869425168"
"Right_I_IV","Left_VM","L_earlyAudMean","0.189349","1e-06","8e-06","0.000000","0.061926","0.926193821580722"
"Right_V","Left_PuM","L_earlyAudMean","0.134248","1e-06","8e-06","0.000054","0.009513","0.932323141330205"
"Right_V","Left_L_Sg","L_insOperMean","0.091652","1e-06","8e-06","0.000100","0.005422","0.95629460614237"
"Right_V","Left_CM","L_insOperMean","0.153720","1e-06","1e-05","0.000000","0.074406","0.95629460614237"
"Right_V","Left_PuA","L_insOperMean","0.155409","1e-06","9e-06","0.000020","0.027922","0.95629460614237"
"Right_V","Left_Pf","L_insOperMean","0.093274","1e-06","1.1e-05","0.000000","0.023241","0.95629460614237"
"Right_V","Left_Pf","L_tpjMean","0.238992","1e-06","6e-06","0.000000","0.037730","0.652656520244325"
"Right_V","Left_VM","L_earlyAudMean","0.233070","1e-06","7e-06","0.000000","0.074285","0.932323141330205"
"Right_V","Left_VM","L_insOperMean","0.214272","1e-06","8e-06","0.000000","0.086564","0.95629460614237"
"Right_VI","Left_L_Sg","L_insOperMean","0.168182","1e-06","5e-06","0.000011","0.009837","0.719741770805316"
"Right_VI","Left_Pf","L_insOperMean","0.241637","1e-06","6e-06","0.000000","0.058416","0.719741770805316"
"Right_VI","Left_Pf","L_tpjMean","0.153130","1e-06","3e-06","0.000000","0.024874","0.708410495890776"
"Right_VIIIb","Left_PuA","L_insOperMean","0.143969","1e-06","9e-06","0.000011","0.026083","0.964014893168886"
"Right_VIIIb","Left_Pf","L_tpjMean","0.098419","1e-06","7e-06","0.000008","0.015590","0.916613313123903"
"Right_VIIIb","Left_VM","L_earlyAudMean","0.202210","1e-06","8e-06","0.000001","0.065314","0.996412376491774"
"Right_X","Left_PuM","L_somatoMean","0.073715","1e-06","2.4e-05","0.002492","0.022309","0.433454316486531"
"Right_X","Left_PuM","L_earlyAudMean","0.197336","1e-06","3.6e-05","0.002492","0.013251","0.902416773351753"
"Right_X","Left_PuM","L_insOperMean","0.250944","1e-06","3.4e-05","0.002492","0.034655","0.865614735998297"
"Right_X","Left_L_Sg","L_somatoMean","0.145558","1e-06","2e-05","0.000700","0.127312","0.433454316486531"
"Right_X","Left_L_Sg","L_insOperMean","0.114072","4e-06","4.7e-05","0.000700","0.006670","0.865614735998297"
"Right_X","Left_L_Sg","L_postCingMean","0.158764","2e-06","2.5e-05","0.000700","0.039947","0.693516365113495"
"Right_X","Left_L_Sg","L_tpjMean","0.157184","2e-06","2.8e-05","0.000700","0.030579","0.740133856058603"
"Right_X","Left_CM","L_insOperMean","0.327938","1e-06","3.4e-05","0.000078","0.149232","0.865614735998297"
"Right_X","Left_Pf","L_insOperMean","0.256669","1e-06","4.1e-05","0.000631","0.057956","0.865614735998297"
"Right_X","Left_Pf","L_tpjMean","0.135193","2e-06","3.2e-05","0.000631","0.021911","0.740133856058603"
"Right_X","Left_VM","L_earlyAudMean","0.337719","1e-06","3e-05","0.000575","0.101931","0.902416773351753"
"Right_Dentate","Left_PuM","L_somatoMean","0.324947","1e-06","1.3e-05","0.000000","0.066826","0.626818806474882"
"Right_Dentate","Left_PuM","L_earlyAudMean","0.425820","2e-06","1.8e-05","0.000000","0.040242","0.332685359700103"
"Right_Dentate","Left_PuM","L_insOperMean","0.523561","1e-06","1.9e-05","0.000000","0.088790","0.402599710700306"
"Right_Dentate","Left_L_Sg","L_insOperMean","0.422355","2e-06","2e-05","0.000004","0.027623","0.402599710700306"
"Right_Dentate","Left_L_Sg","L_postCingMean","0.289848","1e-06","1.1e-05","0.000004","0.062879","0.828125737074739"
"Right_Dentate","Left_PuA","L_insOperMean","0.574856","1e-06","2e-05","0.000000","0.117574","0.402599710700306"
"Right_Interposed","Left_PuM","L_earlyAudMean","0.473932","3e-06","9.2e-05","0.000004","0.038155","0.395841481394397"
"Right_Interposed","Left_L_Sg","L_insOperMean","0.290091","8e-06","0.000118","0.000004","0.018118","0.509043328395232"
"Right_Interposed","Left_L_Sg","L_postCingMean","0.364331","3e-06","5.9e-05","0.000004","0.078280","0.739176820204968"
"Right_Interposed","Left_LD","L_somatoMean","0.191210","3e-06","5.2e-05","0.005806","0.000194","0.700971813164541"
"Right_Interposed","Left_LD","L_assocAudMean","0.076754","5e-06","6.2e-05","0.005806","0.000266","0.913396605637191"
"Right_Interposed","Left_LD","L_postCingMean","0.217129","6e-06","5.3e-05","0.005806","0.000515","0.739176820204968"
"Right_Interposed","Left_LD","L_tpjMean","0.962699","2e-06","5e-05","0.005806","0.027853","0.293574157701211"
"Right_Fastigial","Left_L_Sg","L_insOperMean","0.050345","1e-05","0.000187","0.011415","0.158916","0.00854593327406311"
"Right_Fastigial","Left_L_Sg","L_postCingMean","0.631205","2e-06","0.000136","0.011415","0.212240","0.296971049437198"
