"cer","thal","neo","directP","indirectBootLLCI","indirectBootULCI","a_pval","b_pval","linmod_pval"
"Right_I_IV","Left_LGN","L_somatoMean","0.602244","0","3e-06","0.004809","0.180176","0.944332203790838"
"Right_I_IV","Left_LGN","L_antCingMean","0.042265","0","3e-06","0.004809","0.098108","0.146119467161349"
"Right_I_IV","Left_LGN","L_earlyAudMean","0.339921","0","5e-06","0.004809","0.019249","0.926193821580722"
"Right_I_IV","Left_LGN","L_assocAudMean","0.969141","-1e-06","2e-06","0.004809","0.599696","0.833039767162201"
"Right_I_IV","Left_LGN","L_insOperMean","0.440055","-1e-06","5e-06","0.004809","0.047695","0.912766876464739"
"Right_I_IV","Left_LGN","L_postCingMean","0.986941","-2e-06","2e-06","0.004809","0.776360","0.875963202041443"
"Right_I_IV","Left_LGN","L_tpjMean","0.881553","-1e-06","4e-06","0.004809","0.141762","0.589887869425168"
"Right_I_IV","Left_MGN","L_somatoMean","0.841552","-4e-06","3e-06","0.000000","0.835024","0.944332203790838"
"Right_I_IV","Left_MGN","L_antCingMean","0.350114","-3e-06","3e-06","0.000000","0.950943","0.146119467161349"
"Right_I_IV","Left_MGN","L_earlyAudMean","0.738324","-4e-06","7e-06","0.000000","0.590629","0.926193821580722"
"Right_I_IV","Left_MGN","L_assocAudMean","0.369466","-7e-06","2e-06","0.000000","0.305362","0.833039767162201"
"Right_I_IV","Left_MGN","L_insOperMean","0.745853","-5e-06","7e-06","0.000000","0.589349","0.912766876464739"
"Right_I_IV","Left_MGN","L_postCingMean","0.972853","-4e-06","5e-06","0.000000","0.850764","0.875963202041443"
"Right_I_IV","Left_MGN","L_tpjMean","0.432890","-2e-06","9e-06","0.000000","0.120669","0.589887869425168"
"Right_I_IV","Left_PuI","L_somatoMean","0.737201","0","2e-06","0.049761","0.196491","0.944332203790838"
"Right_I_IV","Left_PuI","L_antCingMean","0.099935","-1e-06","1e-06","0.049761","0.371532","0.146119467161349"
"Right_I_IV","Left_PuI","L_earlyAudMean","0.700673","-1e-06","3e-06","0.049761","0.129806","0.926193821580722"
"Right_I_IV","Left_PuI","L_assocAudMean","0.946379","-1e-06","2e-06","0.049761","0.670980","0.833039767162201"
"Right_I_IV","Left_PuI","L_insOperMean","0.828159","-1e-06","3e-06","0.049761","0.300753","0.912766876464739"
"Right_I_IV","Left_PuI","L_postCingMean","0.761431","-2e-06","1e-06","0.049761","0.611976","0.875963202041443"
"Right_I_IV","Left_PuI","L_tpjMean","0.758361","-1e-06","2e-06","0.049761","0.513643","0.589887869425168"
"Right_I_IV","Left_PuM","L_somatoMean","0.237076","0","5e-06","0.000025","0.045127","0.944332203790838"
"Right_I_IV","Left_PuM","L_antCingMean","0.070265","-1e-06","4e-06","0.000025","0.269474","0.146119467161349"
"Right_I_IV","Left_PuM","L_earlyAudMean","0.115272","0","8e-06","0.000025","0.008334","0.926193821580722"
"Right_I_IV","Left_PuM","L_assocAudMean","0.671195","0","5e-06","0.000025","0.332869","0.833039767162201"
"Right_I_IV","Left_PuM","L_insOperMean","0.206211","0","8e-06","0.000025","0.029160","0.912766876464739"
"Right_I_IV","Left_PuM","L_postCingMean","0.884978","-2e-06","3e-06","0.000025","0.660509","0.875963202041443"
"Right_I_IV","Left_PuM","L_tpjMean","0.670158","-1e-06","6e-06","0.000025","0.162210","0.589887869425168"
"Right_I_IV","Left_L_Sg","L_somatoMean","0.563401","0","3e-06","0.000045","0.287033","0.944332203790838"
"Right_I_IV","Left_L_Sg","L_antCingMean","0.098926","-1e-06","4e-06","0.000045","0.402893","0.146119467161349"
"Right_I_IV","Left_L_Sg","L_earlyAudMean","0.473531","-1e-06","6e-06","0.000045","0.184918","0.926193821580722"
"Right_I_IV","Left_L_Sg","L_assocAudMean","0.810479","-1e-06","3e-06","0.000045","0.491673","0.833039767162201"
"Right_I_IV","Left_L_Sg","L_insOperMean","0.118257","0","1e-05","0.000045","0.006822","0.912766876464739"
"Right_I_IV","Left_L_Sg","L_postCingMean","0.335869","0","4e-06","0.000045","0.069799","0.875963202041443"
"Right_I_IV","Left_L_Sg","L_tpjMean","0.570893","0","5e-06","0.000045","0.093072","0.589887869425168"
"Right_I_IV","Left_VPL","L_somatoMean","0.879663","-2e-06","3e-06","0.000000","0.778197","0.944332203790838"
"Right_I_IV","Left_VPL","L_antCingMean","0.232940","-2e-06","3e-06","0.000000","0.801093","0.146119467161349"
"Right_I_IV","Left_VPL","L_earlyAudMean","0.535138","-1e-06","6e-06","0.000000","0.336064","0.926193821580722"
"Right_I_IV","Left_VPL","L_assocAudMean","0.826119","-3e-06","3e-06","0.000000","0.917943","0.833039767162201"
"Right_I_IV","Left_VPL","L_insOperMean","0.471592","0","7e-06","0.000000","0.263749","0.912766876464739"
"Right_I_IV","Left_VPL","L_postCingMean","0.520543","-4e-06","2e-06","0.000000","0.452740","0.875963202041443"
"Right_I_IV","Left_VPL","L_tpjMean","0.747439","-3e-06","4e-06","0.000000","0.940215","0.589887869425168"
"Right_I_IV","Left_CM","L_somatoMean","0.341466","-1e-06","6e-06","0.000000","0.213954","0.944332203790838"
"Right_I_IV","Left_CM","L_antCingMean","0.244937","-2e-06","4e-06","0.000000","0.714372","0.146119467161349"
"Right_I_IV","Left_CM","L_earlyAudMean","0.419938","-2e-06","8e-06","0.000000","0.280284","0.926193821580722"
"Right_I_IV","Left_CM","L_assocAudMean","0.903402","-4e-06","5e-06","0.000000","0.995422","0.833039767162201"
"Right_I_IV","Left_CM","L_insOperMean","0.209938","0","1.1e-05","0.000000","0.099648","0.912766876464739"
"Right_I_IV","Left_CM","L_postCingMean","0.750249","-3e-06","5e-06","0.000000","0.605339","0.875963202041443"
"Right_I_IV","Left_CM","L_tpjMean","0.756470","-2e-06","6e-06","0.000000","0.426596","0.589887869425168"
"Right_I_IV","Left_VLa","L_somatoMean","0.972747","-2e-06","3e-06","0.000000","0.982460","0.944332203790838"
"Right_I_IV","Left_VLa","L_antCingMean","0.504910","-3e-06","1e-06","0.000000","0.586675","0.146119467161349"
"Right_I_IV","Left_VLa","L_earlyAudMean","0.976454","-3e-06","4e-06","0.000000","0.958628","0.926193821580722"
