"","cer","thal","neo","model","direct effect","direct lower CI","direct higher CI","index of mod_med","indirect lower CI","indirect higher CI"
"1","Right_Interposed","Left_Pf","L_tpjMean","58","NaN","NaN","NaN","-0.0000729","-0.0001498","-0.0000108"
"2","Right_Interposed","Left_Pf","L_tpjMean","14","NaN","NaN","NaN","-0.0000949","-0.0001673","-0.0000206"
"3","Right_Interposed","Left_Pf","L_insOperMean","58","NaN","NaN","NaN","-0.0000658","-0.0001405","-0.0000121"
"4","Right_Interposed","Left_Pf","L_insOperMean","14","NaN","NaN","NaN","-0.0000806","-0.0001737","-0.0000149"
"5","Right_Interposed","Left_PuA","L_postCingMean","58","NaN","NaN","NaN","-0.0000517","-0.0000957","-0.0000116"
"6","Right_Interposed","Left_PuA","L_postCingMean","14","NaN","NaN","NaN","-0.0000367","-0.0000750","-0.0000004"
"7","Right_Interposed","Left_PuM","L_insOperMean","58","NaN","NaN","NaN","-0.0001233","-0.0002210","-0.0000220"
"8","Right_Interposed","Left_PuM","L_insOperMean","14","NaN","NaN","NaN","-0.0001039","-0.0001878","-0.0000201"
"9","Right_Dentate","Left_Pf","L_tpjMean","58","NaN","NaN","NaN","-0.0000151","-0.0000272","-0.0000038"
"10","Right_Dentate","Left_Pf","L_tpjMean","14","NaN","NaN","NaN","-0.0000195","-0.0000340","-0.0000060"
"11","Right_V","Left_PuA","L_postCingMean","58","NaN","NaN","NaN","-0.0000025","-0.0000054","-0.0000001"
"12","Right_V","Left_PuA","L_postCingMean","14","NaN","NaN","NaN","-0.0000027","-0.0000055","-0.0000002"
"13","Right_I_IV","Left_PuA","L_postCingMean","14","NaN","NaN","NaN","-0.0000031","-0.0000061","-0.0000002"
"14","Right_Interposed","Left_VA","L_somatoMean","5","-0.0000810","-0.0001605","-0.0000014","NaN","NaN","NaN"
"15","Right_Interposed","Left_VLa","L_somatoMean","5","-0.0000817","-0.0001615","-0.0000018","NaN","NaN","NaN"
"16","Left_Interposed","Right_Pf","R_assocAudMean","58","NaN","NaN","NaN","-0.0000574","-0.0001139","-0.0000091"
"17","Left_Interposed","Right_Pf","R_assocAudMean","14","NaN","NaN","NaN","-0.0000722","-0.0001411","-0.0000163"
"18","Left_Dentate","Right_Pf","R_assocAudMean","58","NaN","NaN","NaN","-0.0000160","-0.0000255","-0.0000072"
"19","Left_Dentate","Right_Pf","R_assocAudMean","14","NaN","NaN","NaN","-0.0000159","-0.0000277","-0.0000055"
"20","Left_Dentate","Right_PuA","R_earlyAudMean","58","NaN","NaN","NaN","-0.0000191","-0.0000342","-0.0000037"
"21","Left_Dentate","Right_PuA","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000186","-0.0000339","-0.0000035"
"22","Left_X","Right_Pf","R_postCingMean","58","NaN","NaN","NaN","-0.0000197","-0.0000375","-0.0000030"
"23","Left_X","Right_Pf","R_postCingMean","14","NaN","NaN","NaN","-0.0000252","-0.0000479","-0.0000035"
"24","Left_X","Right_Pf","R_assocAudMean","58","NaN","NaN","NaN","-0.0000235","-0.0000427","-0.0000064"
"25","Left_X","Right_Pf","R_assocAudMean","14","NaN","NaN","NaN","-0.0000292","-0.0000572","-0.0000055"
"26","Left_X","Right_CM","R_assocAudMean","58","NaN","NaN","NaN","-0.0000194","-0.0000359","-0.0000040"
"27","Left_X","Right_CM","R_assocAudMean","14","NaN","NaN","NaN","-0.0000208","-0.0000440","-0.0000009"
"28","Left_IX","Right_PuA","R_earlyAudMean","58","NaN","NaN","NaN","-0.0000063","-0.0000116","-0.0000007"
"29","Left_IX","Right_PuA","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000068","-0.0000148","-0.0000006"
"30","Left_VIIIb","Right_Pf","R_postCingMean","58","NaN","NaN","NaN","-0.0000033","-0.0000057","-0.0000007"
"31","Left_VIIIb","Right_Pf","R_postCingMean","14","NaN","NaN","NaN","-0.0000044","-0.0000081","-0.0000005"
"32","Left_VIIIb","Right_Pf","R_assocAudMean","58","NaN","NaN","NaN","-0.0000036","-0.0000065","-0.0000011"
"33","Left_VIIIb","Right_Pf","R_assocAudMean","14","NaN","NaN","NaN","-0.0000051","-0.0000099","-0.0000011"
"34","Left_VIIIb","Right_CM","R_assocAudMean","58","NaN","NaN","NaN","-0.0000029","-0.0000051","-0.0000006"
"35","Left_VIIIb","Right_CM","R_assocAudMean","14","NaN","NaN","NaN","-0.0000038","-0.0000078","-0.0000004"
"36","Left_VIIIa","Right_Pf","R_assocAudMean","58","NaN","NaN","NaN","-0.0000025","-0.0000046","-0.0000008"
"37","Left_VIIIa","Right_Pf","R_assocAudMean","14","NaN","NaN","NaN","-0.0000038","-0.0000073","-0.0000009"
"38","Left_V","Right_Pf","R_postCingMean","58","NaN","NaN","NaN","-0.0000031","-0.0000051","-0.0000008"
"39","Left_V","Right_Pf","R_postCingMean","14","NaN","NaN","NaN","-0.0000041","-0.0000076","-0.0000005"
"40","Left_V","Right_Pf","R_assocAudMean","58","NaN","NaN","NaN","-0.0000036","-0.0000062","-0.0000013"
"41","Left_V","Right_Pf","R_assocAudMean","14","NaN","NaN","NaN","-0.0000048","-0.0000096","-0.0000009"
"42","Left_V","Right_CM","R_assocAudMean","58","NaN","NaN","NaN","-0.0000028","-0.0000048","-0.0000008"
"43","Left_V","Right_CM","R_assocAudMean","14","NaN","NaN","NaN","-0.0000035","-0.0000074","-0.0000003"
"44","Left_I_IV","Right_Pf","R_postCingMean","58","NaN","NaN","NaN","-0.0000048","-0.0000079","-0.0000010"
"45","Left_I_IV","Right_Pf","R_postCingMean","14","NaN","NaN","NaN","-0.0000060","-0.0000106","-0.0000008"
"46","Left_I_IV","Right_Pf","R_assocAudMean","58","NaN","NaN","NaN","-0.0000055","-0.0000092","-0.0000021"
"47","Left_I_IV","Right_Pf","R_assocAudMean","14","NaN","NaN","NaN","-0.0000071","-0.0000133","-0.0000018"
"48","Left_I_IV","Right_PuA","R_earlyAudMean","58","NaN","NaN","NaN","-0.0000066","-0.0000118","-0.0000013"
"49","Left_I_IV","Right_PuA","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000076","-0.0000158","-0.0000013"
"50","Left_I_IV","Right_CM","R_assocAudMean","58","NaN","NaN","NaN","-0.0000040","-0.0000071","-0.0000008"
"51","Left_I_IV","Right_CM","R_assocAudMean","14","NaN","NaN","NaN","-0.0000051","-0.0000103","-0.0000005"
"52","Left_I_IV","Right_LGN","R_postCingMean","58","NaN","NaN","NaN","-0.0000036","-0.0000070","-0.0000002"
"53","Left_Interposed","Right_Pf","R_postCingMean","58","NaN","NaN","NaN","-0.0000509","-0.0000982","-0.0000067"
"54","Left_Interposed","Right_Pf","R_postCingMean","14","NaN","NaN","NaN","-0.0000625","-0.0001134","-0.0000095"
"55","Left_Interposed","Right_Pf","R_postCingMean","5","-0.0000918","-0.0001686","-0.0000151","NaN","NaN","NaN"
"56","Right_Interposed","Left_LD","L_postCingMean","58","NaN","NaN","NaN","-0.0000297","-0.0000585","-0.0000013"
"57","Right_Interposed","Left_LD","L_postCingMean","14","NaN","NaN","NaN","-0.0000273","-0.0000530","-0.0000017"
"58","Right_Interposed","Left_LD","L_somatoMean","58","NaN","NaN","NaN","-0.0000311","-0.0000567","-0.0000021"
"59","Right_Interposed","Left_LD","L_somatoMean","14","NaN","NaN","NaN","-0.0000322","-0.0000558","-0.0000033"
"60","Right_Interposed","Left_L_Sg","L_insOperMean","58","NaN","NaN","NaN","-0.0000579","-0.0001224","-0.0000045"
"61","Right_Interposed","Left_L_Sg","L_insOperMean","14","NaN","NaN","NaN","-0.0000583","-0.0001196","-0.0000070"
"62","Right_Interposed","Left_PuM","L_earlyAudMean","14","NaN","NaN","NaN","-0.0000448","-0.0000871","-0.0000079"
"63","Right_Dentate","Left_PuA","L_insOperMean","58","NaN","NaN","NaN","-0.0000134","-0.0000254","-0.0000011"
"64","Right_Dentate","Left_PuA","L_insOperMean","14","NaN","NaN","NaN","-0.0000138","-0.0000263","-0.0000019"
"65","Right_Dentate","Left_L_Sg","L_insOperMean","58","NaN","NaN","NaN","-0.0000097","-0.0000200","-0.0000013"
"66","Right_Dentate","Left_L_Sg","L_insOperMean","14","NaN","NaN","NaN","-0.0000100","-0.0000202","-0.0000008"
"67","Right_Dentate","Left_PuM","L_insOperMean","14","NaN","NaN","NaN","-0.0000187","-0.0000318","-0.0000045"
"68","Right_Dentate","Left_PuM","L_earlyAudMean","58","NaN","NaN","NaN","-0.0000085","-0.0000150","-0.0000017"
"69","Right_Dentate","Left_PuM","L_earlyAudMean","14","NaN","NaN","NaN","-0.0000083","-0.0000156","-0.0000016"
"70","Right_Dentate","Left_PuM","L_somatoMean","58","NaN","NaN","NaN","-0.0000064","-0.0000136","-0.0000008"
"71","Right_Dentate","Left_PuM","L_somatoMean","14","NaN","NaN","NaN","-0.0000074","-0.0000157","-0.0000011"
"72","Right_X","Left_Pf","L_tpjMean","58","NaN","NaN","NaN","-0.0000245","-0.0000477","-0.0000020"
"73","Right_X","Left_Pf","L_tpjMean","14","NaN","NaN","NaN","-0.0000361","-0.0000727","-0.0000082"
"74","Right_X","Left_Pf","L_insOperMean","58","NaN","NaN","NaN","-0.0000213","-0.0000406","-0.0000008"
"75","Right_X","Left_Pf","L_insOperMean","14","NaN","NaN","NaN","-0.0000298","-0.0000664","-0.0000061"
"76","Right_X","Left_CM","L_insOperMean","14","NaN","NaN","NaN","-0.0000280","-0.0000669","-0.0000041"
"77","Right_X","Left_L_Sg","L_insOperMean","14","NaN","NaN","NaN","-0.0000213","-0.0000445","-0.0000017"
"78","Right_X","Left_PuM","L_somatoMean","5","0.0000320","0.0000001","0.0000639","NaN","NaN","NaN"
"79","Right_VIIIb","Left_Pf","L_tpjMean","58","NaN","NaN","NaN","-0.0000060","-0.0000104","-0.0000021"
"80","Right_VIIIb","Left_Pf","L_tpjMean","14","NaN","NaN","NaN","-0.0000076","-0.0000136","-0.0000021"
